player 1,player 2,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"SCARLETT,MICHAEL","MKPADO,KELE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYERS,PATRICK","WALKER,GEORGE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LYNDS,SCOTT","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRESIDENT,MILES","MADDOCK,ANDREW",00:20:05,2,34,30,7,3,8,7,6,5,4,6,8,32,31,2,5,16,5,13,4,6,4,12
"KUSCH,RYAN","PRESIDENT,MILES",00:50:18,-16,83,83,18,8,27,21,21,8,13,17,19,99,92,14,8,32,27,23,8,11,22,34
"PRESIDENT,MILES","SCARLETT,MICHAEL",10:52:38,165,1247,1094,208,144,332,333,271,115,170,232,309,1082,1066,188,119,414,257,284,120,208,193,285
"KIRSCH,MAXWELL","MKPADO,KELE",00:06:55,-1,10,14,3,6,5,4,5,0,6,2,4,11,13,5,2,3,2,3,0,0,0,9
"SCARLETT,MICHAEL","KIRSCH,MAXWELL",02:10:23,-8,220,216,44,27,75,61,63,24,39,43,33,228,220,36,17,82,58,57,20,38,38,66
"SCARLETT,MICHAEL","LEVINE,JD",00:41:44,-7,76,69,7,9,25,17,21,11,15,17,14,83,74,12,8,27,22,20,8,12,13,18
"LYNDS,SCOTT","LEVINE,JD",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HORN,JEREMY","MKPADO,KELE",00:15:13,10,30,27,6,7,9,8,8,4,6,7,6,20,24,9,3,6,4,6,1,1,1,13
"MORRIS,KENDRICK","GARVIN,SAM",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIRSCH,MAXWELL","SUI,MARK",00:08:14,8,18,16,4,4,3,5,4,2,3,4,4,10,15,3,1,7,3,6,1,1,1,3
"HORN,JEREMY","MADDOCK,ANDREW",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HALL,RILEY","LYNDS,SCOTT",05:19:50,121,631,533,99,76,166,166,129,69,93,119,132,510,525,97,54,208,119,147,60,104,94,125
"HALL,RILEY","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYERS,PATRICK","KIRSCH,MAXWELL",01:07:44,-41,92,103,17,16,44,23,46,11,15,20,18,133,107,16,15,33,32,22,12,23,24,44
"MORRIS,KENDRICK","KIRSCH,MAXWELL",01:14:48,11,139,127,30,16,35,42,23,13,26,25,20,128,130,23,8,49,33,34,15,25,23,23
"LYNDS,SCOTT","MADDOCK,ANDREW",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KUSCH,RYAN","WALKER,GEORGE",00:02:49,-1,3,5,1,0,3,0,2,0,0,0,4,4,5,3,0,0,0,0,0,0,0,4
"SCARLETT,MICHAEL","LYNDS,SCOTT",05:34:44,152,670,563,102,75,175,168,134,77,98,131,142,518,551,100,53,230,117,156,61,111,98,139
"ELY,JACK","LYNDS,SCOTT",01:46:49,32,200,177,28,24,63,58,48,17,29,32,50,168,182,41,13,70,41,46,17,30,29,51
"ELY,JACK","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","MKPADO,KELE",00:08:56,9,19,15,4,3,4,5,3,2,2,3,6,10,13,8,1,1,0,1,1,1,1,8
"MORRIS,KENDRICK","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
