player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","HALL,RILEY","LEVINE,JD","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:01:33,-2,2,4,1,1,2,1,0,0,3,1,0,4,3,1,0,0,2,0,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","LEVINE,JD","MYERS,PATRICK","SCARLETT,MICHAEL",00:02:14,-4,2,3,1,1,1,1,1,0,1,0,0,6,4,0,1,1,3,1,0,1,1,0
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:02:24,2,6,3,0,1,0,3,1,0,0,1,0,4,4,0,1,2,2,0,0,3,0,0
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:02:20,0,5,3,0,0,1,1,1,1,0,1,0,5,3,0,1,1,1,1,1,1,2,0
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:01:13,0,0,2,0,0,2,0,0,0,2,0,0,0,2,1,0,1,0,0,0,1,0,0
"DAVIS,EVAN","KIRSCH,MAXWELL","LEVINE,JD","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:01:13,-4,0,1,1,2,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4
"DAVIS,EVAN","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:03:07,6,9,6,2,1,0,4,1,0,0,3,1,3,6,0,2,5,1,3,0,3,0,3
"DAVIS,EVAN","KUSCH,RYAN","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:00:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:13:06,-1,29,29,6,3,8,8,4,2,3,7,12,30,28,9,1,7,5,4,5,4,4,5
"HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:07:01,7,10,9,2,5,3,0,4,3,4,1,2,3,8,2,1,5,0,2,0,3,0,4
"KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:10,3,5,2,0,0,0,2,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0
"KUSCH,RYAN","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:04:36,-2,5,8,1,1,5,1,2,1,4,1,0,7,8,2,1,3,2,2,1,2,3,0
