player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:02:57,0,2,5,0,0,4,1,1,0,3,0,0,2,6,1,0,4,1,2,0,2,1,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:11:08,12,33,22,0,0,8,8,4,1,3,4,16,21,17,3,1,6,5,4,1,2,4,9
"DAVIS,EVAN","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:03:52,-1,9,7,1,2,1,2,2,0,1,1,6,10,7,1,1,2,0,1,3,2,3,1
"ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:14:09,-6,25,21,6,4,4,7,3,3,4,7,4,31,23,2,2,7,8,5,4,4,7,4
"ELY,JACK","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:04:54,1,6,7,2,1,2,3,2,0,1,2,0,5,6,1,1,3,2,2,0,2,2,1
"ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:02:30,0,2,3,0,0,2,1,1,0,1,1,0,2,3,0,0,2,1,0,0,2,0,0
"HALL,RILEY","KUSCH,RYAN","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:24,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0
