player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK",00:00:56,0,2,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES",00:00:59,3,5,2,0,0,0,0,0,1,0,1,2,2,1,0,0,0,1,0,0,0,1,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MORRIS,KENDRICK","PRESIDENT,MILES",00:02:06,3,5,3,0,0,1,1,0,1,1,0,0,2,3,0,0,2,1,1,0,1,1,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES",00:00:37,-3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:03:29,1,5,5,0,0,3,1,1,1,2,1,0,4,5,0,2,3,2,3,0,2,0,0
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:07:41,0,12,12,1,1,6,3,3,1,3,2,4,12,12,3,1,3,2,3,1,1,2,6
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","SCARLETT,MICHAEL",00:08:41,-6,11,12,2,0,5,3,1,1,4,1,2,17,13,0,0,6,5,5,2,0,1,2
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:12,2,2,2,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0
"ELY,JACK","KIRSCH,MAXWELL","LEVINE,JD","MYERS,PATRICK","SCARLETT,MICHAEL",00:01:03,-4,0,2,0,0,2,0,2,0,0,0,0,4,2,0,1,0,2,1,0,0,1,0
"ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:01:06,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK","SCARLETT,MICHAEL",00:00:24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"ELY,JACK","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:15,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:12:23,9,21,19,3,4,8,6,6,2,5,4,4,12,18,4,2,9,3,10,2,1,1,2
