player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:55,-2,3,2,0,1,1,0,1,1,1,1,0,5,2,0,0,0,1,0,1,0,0,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:08:46,2,12,15,3,4,6,4,8,1,2,1,2,10,14,5,3,5,2,6,2,2,2,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MYERS,PATRICK","SCARLETT,MICHAEL",00:02:52,-3,2,3,0,1,2,1,3,0,0,1,0,5,4,0,0,2,1,0,1,2,1,0
"DAVIS,EVAN","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:42,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:04:56,5,10,6,1,0,2,2,1,2,1,3,0,5,6,2,4,2,1,2,0,3,0,5
"DAVIS,EVAN","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:21,-2,2,2,1,0,0,1,0,0,0,0,0,4,2,0,1,1,2,2,0,0,0,0
"ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:15:20,14,30,21,2,5,6,10,7,2,2,8,6,16,23,5,2,10,3,7,1,5,2,8
"ELY,JACK","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:47,0,0,3,1,1,2,0,1,0,2,0,0,0,3,2,1,1,0,0,0,1,0,1
"ELY,JACK","KIRSCH,MAXWELL","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:45,-2,0,2,1,0,1,0,0,0,1,0,0,2,2,0,0,1,1,1,0,0,0,0
"ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:55,0,0,2,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,1,0,1,0,0
"HORN,JEREMY","KIRSCH,MAXWELL","KUSCH,RYAN","LEVINE,JD","SUI,MARK",00:00:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIRSCH,MAXWELL","KUSCH,RYAN","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:11,-3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,1
