player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","HALL,RILEY","HORN,JEREMY","KUSCH,RYAN","LEVINE,JD",00:00:17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","LEVINE,JD","MORRIS,KENDRICK",00:01:03,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","LEVINE,JD","MYERS,PATRICK",00:01:14,-3,0,1,0,1,1,0,2,0,0,0,0,3,2,0,0,1,0,0,1,1,0,0
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:06,-1,3,1,0,1,0,0,0,1,1,0,0,4,2,0,0,0,0,0,1,0,0,2
"DAVIS,EVAN","HORN,JEREMY","KIRSCH,MAXWELL","KUSCH,RYAN","LEVINE,JD",00:01:14,-2,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
"DAVIS,EVAN","KIRSCH,MAXWELL","KUSCH,RYAN","LYNDS,SCOTT","MORRIS,KENDRICK",00:00:42,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"DAVIS,EVAN","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:00:56,0,3,1,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,1,0,1,0
"HALL,RILEY","KUSCH,RYAN","LEVINE,JD","MYERS,PATRICK","SCARLETT,MICHAEL",00:02:44,2,10,5,0,1,0,4,1,0,0,3,2,8,5,2,0,0,1,0,2,0,1,0
"HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:16:34,7,35,26,5,4,5,8,6,4,3,6,9,28,26,2,5,11,8,8,2,7,3,8
"HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:06:11,-2,16,11,2,0,2,1,2,2,0,1,8,18,11,2,1,2,1,1,4,2,5,4
"HORN,JEREMY","KIRSCH,MAXWELL","KUSCH,RYAN","LYNDS,SCOTT","SCARLETT,MICHAEL",00:02:10,3,4,3,0,0,1,2,1,0,0,1,0,1,3,0,0,2,0,2,0,0,0,2
"KIRSCH,MAXWELL","KUSCH,RYAN","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:00:44,-2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,0
"KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:59,0,6,3,0,0,1,1,0,1,0,2,2,6,2,0,0,0,0,0,2,0,2,0
"KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:03:06,2,6,5,0,1,3,0,3,2,1,2,0,4,4,0,1,2,2,0,0,3,0,0
